lang,QID,url,lang_href,policy_name_en,title,timestamp,order_within_wiki,order_across_wikis
fa,Q10948878,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%DA%A9%D9%BE%DB%8C_%D9%85%DA%A9%D9%86%DB%8C%D8%AF,fa,Wikipedia:Do not include the full text of lengthy primary sources,ویکی‌پدیا:کپی_مکنید,2007-12-06T13:05:11Z,34,10
sr,Q10948878,https://sr.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%98%D0%B0:%D0%9D%D0%B5_%D1%83%D0%BA%D1%99%D1%83%D1%87%D1%83%D1%98%D1%82%D0%B5_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D1%82%D0%BD%D0%B5_%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%BE%D0%B2%D0%B5_%D0%BF%D0%BE%D0%B4%D1%83%D0%B6%D0%B8%D1%85_%D0%BF%D1%80%D0%B8%D0%BC%D0%B0%D1%80%D0%BD%D0%B8%D1%85_%D0%B8%D0%B7%D0%B2%D0%BE%D1%80%D0%B0,sr,Wikipedia:Do not include the full text of lengthy primary sources,Википедија:Не_укључујте_комплетне_текстове_подужих_примарних_извора,2008-09-06T22:12:16Z,39,11
bn,Q10948878,https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A5%E0%A6%AE%E0%A6%BF%E0%A6%95_%E0%A6%89%E0%A7%8E%E0%A6%B8%E0%A7%87%E0%A6%B0_%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A6%AA%E0%A6%BF_%E0%A6%95%E0%A6%B0%E0%A6%AC%E0%A7%87%E0%A6%A8_%E0%A6%A8%E0%A6%BE,bn,Wikipedia:Do not include the full text of lengthy primary sources,উইকিপিডিয়া:প্রাথমিক_উৎসের_অনুলিপি_করবেন_না,2009-11-21T14:13:50Z,29,12
as,Q10948878,https://as.wikipedia.org/wiki/%E0%A7%B1%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AE%E0%A7%82%E0%A6%B2_%E0%A6%89%E0%A7%8E%E0%A6%B8_%E0%A6%A8%E0%A6%A5%E0%A6%BF%E0%A7%B0_%E0%A6%A8%E0%A6%95%E0%A6%B2_%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A7%B1%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%9F_%E0%A6%A8%E0%A6%95%E0%A7%B0%E0%A6%BF%E0%A6%AC,as,Wikipedia:Do not include the full text of lengthy primary sources,ৱিকিপিডিয়া:মূল_উৎস_নথিৰ_নকল_সন্নিৱিষ্ট_নকৰিব,2011-08-14T09:51:20Z,11,13
tt,Q10948878,https://tt.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%91%D0%B5%D1%80%D0%B5%D0%BD%D1%87%D0%B5%D0%BB_%D1%87%D1%8B%D0%B3%D0%B0%D0%BD%D0%B0%D0%BA,tt,Wikipedia:Do not include the full text of lengthy primary sources,Википедия:Беренчел_чыганак,2013-05-05T20:29:28Z,16,14
ur,Q10948878,https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%DA%88%DB%8C%D8%A7:%D8%B7%D9%88%DB%8C%D9%84_%D8%A8%D9%86%DB%8C%D8%A7%D8%AF%DB%8C_%D9%85%D8%A7%D8%AE%D8%B0_%DA%A9%D8%A7_%D9%85%DA%A9%D9%85%D9%84_%D9%85%D8%AA%D9%86_%D8%B4%D8%A7%D9%85%D9%84_%D9%86%DB%81_%DA%A9%D8%B1%DB%8C%DA%BA,ur,Wikipedia:Do not include the full text of lengthy primary sources,ویکیپیڈیا:طویل_بنیادی_ماخذ_کا_مکمل_متن_شامل_نہ_کریں,2016-08-12T16:53:32Z,36,15
ckb,Q10948878,https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7:%D8%AA%DB%95%D9%88%D8%A7%D9%88%DB%8C_%D8%AF%DB%95%D9%82%DB%8C_%D8%B3%DB%95%D8%B1%DA%86%D8%A7%D9%88%DB%95_%D8%B3%DB%95%D8%B1%DB%95%DA%A9%DB%8C%DB%8C%DB%95%DA%A9%D8%A7%D9%86_%DA%A9%DB%86%D9%BE%DB%8C_%D9%85%DB%95%DA%A9%DB%95,ckb,Wikipedia:Do not include the full text of lengthy primary sources,ویکیپیدیا:تەواوی_دەقی_سەرچاوە_سەرەکییەکان_کۆپی_مەکە,2017-11-17T14:04:30Z,29,16
arz,Q10948878,https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D9%85%D8%B4_%D9%86%D9%82%D9%84_%D9%83%D9%84%D8%A7%D9%85_%D9%83%D8%AA%D9%8A%D8%B1_%D9%85%D9%86_%D9%85%D8%B5%D8%AF%D8%B1_%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA,arz,Wikipedia:Do not include the full text of lengthy primary sources,ويكيبيديا:مش_نقل_كلام_كتير_من_مصدر_المعلومات,2020-12-01T14:29:12Z,31,17
tr,Q10948878,https://tr.wikipedia.org/wiki/Vikipedi:Uzun_birincil_kaynaklar%C4%B1n_tam_metnini_dahil_etmeyin,tr,Wikipedia:Do not include the full text of lengthy primary sources,Vikipedi:Uzun_birincil_kaynakların_tam_metnini_dahil_etmeyin,2021-08-13T22:54:14Z,63,18
en,Q10955086,https://en.wikipedia.org/wiki/Wikipedia:Offensive_material,en,Wikipedia:Offensive material,Wikipedia:Offensive_material,2002-04-24T17:08:02Z,14,0
ja,Q10955086,https://ja.wikipedia.org/wiki/Wikipedia:%E4%B8%8D%E5%BF%AB%E3%81%AA%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84,ja,Wikipedia:Offensive material,Wikipedia:不快なコンテンツ,2004-05-12T13:42:58Z,26,1
sl,Q10955086,https://sl.wikipedia.org/wiki/Wikipedija:Profanost,sl,Wikipedia:Offensive material,Wikipedija:Profanost,2005-03-13T20:11:39Z,8,2
fi,Q10955086,https://fi.wikipedia.org/wiki/Wikipedia:Loukkaava_sis%C3%A4lt%C3%B6,fi,Wikipedia:Offensive material,Wikipedia:Loukkaava_sisältö,2005-07-12T19:34:57Z,13,3
cs,Q10955086,https://cs.wikipedia.org/wiki/Wikipedie:Nep%C5%99%C3%ADstojn%C3%BD_obsah,cs,Wikipedia:Offensive material,Wikipedie:Nepřístojný_obsah,2005-11-18T11:08:38Z,18,4
id,Q10955086,https://id.wikipedia.org/wiki/Wikipedia:Hindari_hal_yang_tidak_senonoh,id,Wikipedia:Offensive material,Wikipedia:Hindari_hal_yang_tidak_senonoh,2006-03-11T16:01:08Z,12,5
sr,Q10955086,https://sr.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%98%D0%B0:%D0%92%D1%83%D0%BB%D0%B3%D0%B0%D1%80%D0%BD%D0%BE%D1%81%D1%82%D0%B8,sr,Wikipedia:Offensive material,Википедија:Вулгарности,2006-09-13T23:46:43Z,23,6
sk,Q10955086,https://sk.wikipedia.org/wiki/Wikip%C3%A9dia:Nepr%C3%ADstojn%C3%BD_obsah,sk,Wikipedia:Offensive material,Wikipédia:Neprístojný_obsah,2007-04-25T13:43:36Z,23,7
fr,Q10955086,https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Contenu_choquant,fr,Wikipedia:Offensive material,Wikipédia:Contenu_choquant,2008-02-04T16:26:02Z,43,8
tt,Q10955086,https://tt.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%A6%D0%B5%D0%BD%D0%B7%D1%83%D1%80%D0%B0_%D1%87%D0%B8%D0%BA%D0%BB%D3%99%D1%80%D0%B5%D0%BD%D3%99_%D1%81%D1%8B%D0%B9%D0%BC%D0%B0%D0%B3%D0%B0%D0%BD_%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%BA%D0%B0,tt,Wikipedia:Offensive material,Википедия:Цензура_чикләренә_сыймаган_лексика,2010-10-05T16:30:54Z,2,9
tr,Q10955086,https://tr.wikipedia.org/wiki/Vikipedi:Rahats%C4%B1z_edici_malzeme,tr,Wikipedia:Offensive material,Vikipedi:Rahatsız_edici_malzeme,2010-10-25T21:28:52Z,54,10
hi,Q10955086,https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%86%E0%A4%AA%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%9C%E0%A4%A8%E0%A4%95_%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%80,hi,Wikipedia:Offensive material,विकिपीडिया:आपत्तिजनक_सामग्री,2014-09-25T17:13:38Z,17,11
gl,Q10955086,https://gl.wikipedia.org/wiki/Wikipedia:Material_ofensivo,gl,Wikipedia:Offensive material,Wikipedia:Material_ofensivo,2015-08-28T11:14:13Z,30,12
fa,Q10955086,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D9%85%D8%AD%D8%AA%D9%88%D8%A7%DB%8C_%D8%B1%D9%86%D8%AC%D8%A7%D9%86%D9%86%D8%AF%D9%87,fa,Wikipedia:Offensive material,ویکی‌پدیا:محتوای_رنجاننده,2017-04-25T20:35:08Z,81,13
zh,Q10955086,https://zh.wikipedia.org/wiki/Wikipedia:%E5%86%92%E7%8A%AF%E6%80%A7%E5%86%85%E5%AE%B9,zh,Wikipedia:Offensive material,Wikipedia:冒犯性内容,2018-03-13T16:50:29Z,77,14
bn,Q10955086,https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%86%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%95%E0%A6%B0_%E0%A6%89%E0%A6%AA%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%A8,bn,Wikipedia:Offensive material,উইকিপিডিয়া:আপত্তিকর_উপাদান,2020-02-25T03:35:13Z,64,15
ckb,Q10955086,https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7:%D9%86%D8%A7%D9%88%DB%95%DA%95%DB%86%DA%A9%DB%8C_%D9%86%DB%95%D8%B4%DB%8C%D8%A7%D9%88,ckb,Wikipedia:Offensive material,ویکیپیدیا:ناوەڕۆکی_نەشیاو,2021-04-02T03:46:34Z,53,16
ko,Q10955086,https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EB%B6%88%EC%BE%8C%ED%95%9C_%EC%9E%90%EB%A3%8C,ko,Wikipedia:Offensive material,위키백과:불쾌한_자료,2021-06-10T06:25:25Z,78,17
vi,Q10955086,https://vi.wikipedia.org/wiki/Wikipedia:N%E1%BB%99i_dung_g%C3%A2y_x%C3%BAc_ph%E1%BA%A1m,vi,Wikipedia:Offensive material,Wikipedia:Nội_dung_gây_xúc_phạm,2021-09-10T09:50:02Z,75,18
en,Q10957687,https://en.wikipedia.org/wiki/Wikipedia:Content_forks,en,Wikipedia:Content forking,Wikipedia:Content_forks,2005-04-03T19:10:33Z,49,0
ru,Q10957687,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%9E%D1%82%D0%B2%D0%B5%D1%82%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%BD%D0%B5%D0%BD%D0%B8%D0%B9,ru,Wikipedia:Content forking,Википедия:Ответвление_мнений,2006-11-30T15:39:25Z,32,1
no,Q10957687,https://no.wikipedia.org/wiki/Wikipedia:Artikkelforgrening,no,Wikipedia:Content forking,Wikipedia:Artikkelforgrening,2007-07-13T13:23:21Z,21,2
af,Q10957687,https://af.wikipedia.org/wiki/Wikipedia:Duplikaatartikels,af,Wikipedia:Content forking,Wikipedia:Duplikaatartikels,2008-06-23T20:22:44Z,16,3
ar,Q10957687,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%AA%D8%B4%D8%B9%D8%A8_%D9%88%D8%AC%D9%87%D8%A7%D8%AA_%D8%A7%D9%84%D9%86%D8%B8%D8%B1,ar,Wikipedia:Content forking,ويكيبيديا:تشعب_وجهات_النظر,2009-01-26T21:16:22Z,45,4
fa,Q10957687,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%A7%D9%86%D8%B4%D8%B9%D8%A7%D8%A8_%D9%85%D8%AD%D8%AA%D9%88%D8%A7,fa,Wikipedia:Content forking,ویکی‌پدیا:انشعاب_محتوا,2009-07-05T17:59:21Z,51,5
zh,Q10957687,https://zh.wikipedia.org/wiki/Wikipedia:%E5%85%A7%E5%AE%B9%E5%88%86%E6%AD%A7,zh,Wikipedia:Content forking,Wikipedia:內容分歧,2010-04-09T19:38:35Z,60,6
fr,Q10957687,https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Scission_de_contenu,fr,Wikipedia:Content forking,Wikipédia:Scission_de_contenu,2010-09-20T04:12:45Z,50,7
kk,Q10957687,https://kk.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%9C%D0%B0%D2%9B%D0%B0%D0%BB%D0%B0%D0%BD%D1%8B_%D0%B6%D0%B5%D0%BA%D0%B5_%D0%BC%D0%B0%D2%9B%D0%B0%D0%BB%D0%B0%D0%BB%D0%B0%D1%80%D2%93%D0%B0_%D0%B1%D3%A9%D0%BB%D1%83,kk,Wikipedia:Content forking,Уикипедия:Мақаланы_жеке_мақалаларға_бөлу,2011-09-14T12:19:31Z,20,8
id,Q10957687,https://id.wikipedia.org/wiki/Wikipedia:Percabangan_isi,id,Wikipedia:Content forking,Wikipedia:Percabangan_isi,2015-10-14T15:13:09Z,53,9
azb,Q10957687,https://azb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D9%85%D8%AD%D8%AA%D9%88%D8%A7_%D8%A7%DB%8C%D9%86%D8%B4%D8%B9%D8%A7%D8%A8%DB%8C,azb,Wikipedia:Content forking,ویکی‌پدیا:محتوا_اینشعابی,2016-02-05T11:32:02Z,28,10
bn,Q10957687,https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A6%AF%E0%A6%BC%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%B0_%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BE%E0%A6%9C%E0%A6%A8,bn,Wikipedia:Content forking,উইকিপিডিয়া:বিষয়বস্তুর_বিভাজন,2017-08-27T12:18:28Z,53,11
ckb,Q10957687,https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7:%D8%A8%DB%95_%DA%86%DB%95%D8%AA%D8%A7%DA%B5%DA%A9%D8%B1%D8%AF%D9%86%DB%8C_%D9%86%D8%A7%D9%88%DB%95%D8%B1%DB%86%DA%A9,ckb,Wikipedia:Content forking,ویکیپیدیا:بە_چەتاڵکردنی_ناوەرۆک,2021-04-02T02:50:16Z,51,12
si,Q10957687,https://si.wikipedia.org/wiki/%E0%B7%80%E0%B7%92%E0%B6%9A%E0%B7%92%E0%B6%B4%E0%B7%93%E0%B6%A9%E0%B7%92%E0%B6%BA%E0%B7%8F:Content_forks,si,Wikipedia:Content forking,විකිපීඩියා:Content_forks,2024-01-08T17:12:55Z,61,13
nl,Q10964165,https://nl.wikipedia.org/wiki/Wikipedia:Te_beoordelen,nl,Wikipedia:Proposed deletion,Wikipedia:Te_beoordelen,2005-06-23T08:19:44Z,12,0
kn,Q10964165,https://kn.wikipedia.org/wiki/%E0%B2%B5%E0%B2%BF%E0%B2%95%E0%B2%BF%E0%B2%AA%E0%B3%80%E0%B2%A1%E0%B2%BF%E0%B2%AF:Proposed_deletion,kn,Wikipedia:Proposed deletion,ವಿಕಿಪೀಡಿಯ:Proposed_deletion,2006-01-27T17:08:18Z,2,1
en,Q10964165,https://en.wikipedia.org/wiki/Wikipedia:Proposed_deletion,en,Wikipedia:Proposed deletion,Wikipedia:Proposed_deletion,2006-01-27T17:08:18Z,69,2
pl,Q10964165,https://pl.wikipedia.org/wiki/Wikipedia:Propozycja_skasowania,pl,Wikipedia:Proposed deletion,Wikipedia:Propozycja_skasowania,2006-09-09T06:41:18Z,24,3
es,Q10964165,https://es.wikipedia.org/wiki/Wikipedia:Propuestas_de_borrado,es,Wikipedia:Proposed deletion,Wikipedia:Propuestas_de_borrado,2007-03-21T16:36:30Z,29,4
tr,Q10964165,https://tr.wikipedia.org/wiki/Vikipedi:Silme_%C3%B6nerisi,tr,Wikipedia:Proposed deletion,Vikipedi:Silme_önerisi,2007-12-18T01:50:56Z,47,5
ja,Q10964165,https://ja.wikipedia.org/wiki/Wikipedia:%E6%8F%90%E6%A1%88%E5%89%8A%E9%99%A4,ja,Wikipedia:Proposed deletion,Wikipedia:提案削除,2009-01-10T18:48:25Z,54,6
pt,Q10964165,https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:Elimina%C3%A7%C3%A3o_semirr%C3%A1pida,pt,Wikipedia:Proposed deletion,Wikipédia:Eliminação_semirrápida,2009-02-15T16:56:05Z,55,7
lv,Q10964165,https://lv.wikipedia.org/wiki/Vikip%C4%93dija:Ierosin%C4%81ta_dz%C4%93%C5%A1ana,lv,Wikipedia:Proposed deletion,Vikipēdija:Ierosināta_dzēšana,2009-11-03T19:22:32Z,7,8
si,Q10964165,https://si.wikipedia.org/wiki/%E0%B7%80%E0%B7%92%E0%B6%9A%E0%B7%92%E0%B6%B4%E0%B7%93%E0%B6%A9%E0%B7%92%E0%B6%BA%E0%B7%8F:%E0%B6%BA%E0%B7%9D%E0%B6%A2%E0%B7%92%E0%B6%AD_%E0%B6%B8%E0%B6%9A%E0%B7%8F%E0%B6%AF%E0%B7%90%E0%B6%B8%E0%B7%93%E0%B6%B8,si,Wikipedia:Proposed deletion,විකිපීඩියා:යෝජිත_මකාදැමීම,2011-02-14T12:22:19Z,28,9
fa,Q10964165,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%AD%D8%B0%D9%81_%D8%B2%D9%85%D8%A7%D9%86%E2%80%8C%D8%AF%D8%A7%D8%B1,fa,Wikipedia:Proposed deletion,ویکی‌پدیا:حذف_زمان‌دار,2011-11-24T14:22:08Z,64,10
ko,Q10964165,https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EC%82%AD%EC%A0%9C_%EC%A0%9C%EC%95%88,ko,Wikipedia:Proposed deletion,위키백과:삭제_제안,2012-12-18T05:14:07Z,47,11
ur,Q10964165,https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%DA%88%DB%8C%D8%A7:%D9%85%D8%AC%D9%88%D8%B2%DB%81_%D8%AD%D8%B0%D9%81_%D8%B4%D8%AF%DA%AF%DB%8C,ur,Wikipedia:Proposed deletion,ویکیپیڈیا:مجوزہ_حذف_شدگی,2013-03-21T18:16:40Z,23,12
ar,Q10964165,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D9%82%D8%AA%D8%B1%D8%A7%D8%AD_%D8%A7%D9%84%D8%AD%D8%B0%D9%81,ar,Wikipedia:Proposed deletion,ويكيبيديا:اقتراح_الحذف,2013-09-01T11:32:00Z,55,13
ms,Q10964165,https://ms.wikipedia.org/wiki/Wikipedia:Cadangan_penghapusan,ms,Wikipedia:Proposed deletion,Wikipedia:Cadangan_penghapusan,2014-11-24T01:24:18Z,46,14
su,Q10964165,https://su.wikipedia.org/wiki/Wikipedia:Usulan_pamupusan,su,Wikipedia:Proposed deletion,Wikipedia:Usulan_pamupusan,2015-07-20T14:03:58Z,9,15
ckb,Q10964165,https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7:%D8%B3%DA%95%DB%8C%D9%86%DB%95%D9%88%DB%95%DB%8C_%D9%BE%DB%8E%D8%B4%D9%86%DB%8C%D8%A7%D8%B1%DA%A9%D8%B1%D8%A7%D9%88,ckb,Wikipedia:Proposed deletion,ویکیپیدیا:سڕینەوەی_پێشنیارکراو,2017-08-22T16:58:07Z,22,16
bh,Q10964165,https://bh.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5_%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%BE_%E0%A4%B9%E0%A4%9F%E0%A4%BE%E0%A4%B5%E0%A4%B2,bh,Wikipedia:Proposed deletion,विकिपीडिया:प्रस्ताव_द्वारा_हटावल,2017-12-29T06:53:27Z,15,17
arz,Q10964165,https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D9%82%D8%AA%D8%B1%D8%A7%D8%AD_%D8%A7%D9%84%D9%85%D8%B3%D8%AD,arz,Wikipedia:Proposed deletion,ويكيبيديا:اقتراح_المسح,2020-11-30T20:26:19Z,23,18
